                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.74512,                0.58303,                 1.2365,                0.96039,                0.94651,                0.98656,                0.84092,                0.64061,                0.40189,                 1.1722,               0.000416,               0.000416,               0.000416
                     82,                 0.7565,                0.57669,                 1.2458,                0.95921,                0.96094,                0.98787,                0.83944,                0.62783,                0.39764,                 1.1613,              0.0003962,              0.0003962,              0.0003962
                     83,                0.73183,                0.55535,                 1.2244,                0.96074,                0.96358,                0.98771,                0.83899,                0.63534,                0.39679,                 1.1667,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.7262,                0.56613,                 1.2245,                0.97015,                0.95022,                0.98847,                0.84422,                0.63048,                0.38631,                 1.1586,              0.0003566,              0.0003566,              0.0003566
                     85,                0.72805,                0.57281,                 1.2205,                0.96607,                0.95195,                0.98923,                0.84598,                0.61838,                 0.3814,                 1.1514,              0.0003368,              0.0003368,              0.0003368
                     86,                0.72503,                0.55183,                 1.2179,                0.95725,                0.96582,                0.99057,                0.85046,                0.61699,                0.37821,                 1.1466,               0.000317,               0.000317,               0.000317
                     87,                0.73237,                0.54771,                 1.2342,                0.96162,                0.96582,                0.99112,                  0.855,                0.60638,                0.37066,                 1.1332,              0.0002972,              0.0002972,              0.0002972
                     88,                0.72488,                0.55667,                 1.2127,                0.96625,                0.95728,                0.99037,                0.85388,                0.61687,                0.37659,                 1.1424,              0.0002774,              0.0002774,              0.0002774
                     89,                0.71245,                0.55648,                 1.2169,                0.95532,                0.96731,                0.99004,                 0.8599,                0.59529,                0.37122,                 1.1232,              0.0002576,              0.0002576,              0.0002576
                     90,                0.71092,                0.54998,                 1.2014,                0.96307,                0.96868,                0.99168,                 0.8619,                0.59374,                0.36579,                 1.1193,              0.0002378,              0.0002378,              0.0002378
                     91,                0.59279,                0.46535,                 1.1986,                0.97424,                0.95533,                 0.9912,                0.85859,                0.59462,                0.36636,                 1.1188,               0.000218,               0.000218,               0.000218
                     92,                0.56782,                 0.4047,                  1.188,                0.96724,                0.97103,                   0.99,                0.86109,                0.58625,                 0.3671,                 1.1141,              0.0001982,              0.0001982,              0.0001982
                     93,                0.57424,                0.39872,                 1.1882,                0.97232,                0.96564,                0.99237,                0.86892,                0.57305,                0.35121,                 1.1002,              0.0001784,              0.0001784,              0.0001784
                     94,                0.53979,                0.37783,                 1.1659,                0.96384,                0.97251,                0.99103,                0.87152,                0.56839,                0.34851,                 1.0917,              0.0001586,              0.0001586,              0.0001586
                     95,                0.55136,                0.37349,                 1.1645,                0.96807,                0.96657,                0.99137,                0.87169,                0.55692,                0.34527,                 1.0817,              0.0001388,              0.0001388,              0.0001388
                     96,                0.53303,                0.36608,                 1.1535,                0.96679,                0.97623,                0.99177,                 0.8726,                0.55736,                0.34427,                 1.0802,               0.000119,               0.000119,               0.000119
                     97,                0.54047,                0.36892,                 1.1489,                0.97105,                0.97623,                0.99247,                0.87863,                 0.5434,                0.33518,                 1.0703,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.53108,                0.36539,                 1.1437,                0.96356,                0.98219,                0.99285,                0.88423,                0.53946,                0.33048,                 1.0686,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.51842,                0.34652,                 1.1308,                0.97338,                0.97798,                0.99302,                0.88583,                0.53584,                 0.3266,                 1.0634,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.51939,                0.35439,                 1.1486,                 0.9685,                0.98213,                0.99306,                0.88377,                0.53314,                0.32543,                 1.0598,               3.98e-05,               3.98e-05,               3.98e-05
